Concept,Description,Cleaned_Description,References
Decision Tree Analysis," Decision tree analysis is usually performed using specialized, but widely available software. The software allows the user to specify the structure of the decision with decision nodes, chance nodes, costs, benefits, and probabilities. The user can also evaluate the different decisions using linear utility functions based on Expected Monetary Value or on non-linear utility functions of various shapes. An example is shown below where The negative numbers represent out ows or investments e.g. COTS The percentages represent probabilities of the event occurring e.g., Major Problems The positive numbers represent rewards or values e.g., after Fix the Problem True indicates the decision option taken from the square decision node, whereas false indicates the decision option not taken Figure D14. Example of a Decision Tree for Choosing between an Experimental Technology vs. Commercial Off the Shelf COTS Technology Source Precision Tree from Palisade Corporation",decision tree analysis usually performed using specialized widely available software. software allows user specify structure decision decision node chance node cost benefit probabilities. user also evaluate different decision using linear utility function based expected monetary value non-linear utility function various shapes. example shown negative number represent ows investment example. cot percentage represent probability event occurring example. major problem positive number represent reward value example. fix problem true indicates decision option taken square decision node whereas false indicates decision option taken figure d14. example decision tree choosing experimental technology vs. commercial shelf cot technology source precision tree palisade corporation,['https://i.ibb.co/2FjrLhk/page-106-png-roi-0-1-00.jpg']
Expected Monetary Value," Expected Monetary Value EMV is a simple calculation of a value such as weighted average or expected cost or benefit when the outcomes are uncertain. All reasonable alternative outcomes are identified. Their probabilities of occurring summing to 100 and their values are estimated. The EMV calculation is made for the entire event by weighting the individual possible outcomes by their probabilities of occurring, as shown in Figure D15.",expected monetary value emv simple calculation value weighted average expected cost benefit outcome uncertain. reasonable alternative outcome identified. probability occurring summing 100 value estimated. emv calculation made entire event weighting individual possible outcome probability occurring shown figure d15.,['https://i.ibb.co/M9S9xPm/page-107-png-roi-0-0-99.jpg']
Monte Carlo Simulation," Monte Carlo simulation is a detailed, computer-intensive simulation approach to determining the value and probability of possible outcomes of a project objective such as a project schedule e.g., the completion date or cost estimate e.g., the total cost. It computes the schedule or cost estimate many times using inputs drawn at 95D random from ranges specified with probability distribution functions for schedule activity durations or cost line- items. The solutions using these different input values are used to build a histogram of possible project outcomes and their relative probability, and cumulative probability from which to compute desired contingency reserves of time or cost. Additional results include the relative importance of each input in determining the overall project cost and schedule. Examples of the output of schedule and cost risk results are shown in Figures D16 and D17.",monte carlo simulation detailed computer-intensive simulation approach determining value probability possible outcome project objective project schedule example. completion date cost estimate example. total cost. computes schedule cost estimate many time using input drawn 95d random range specified probability distribution function schedule activity duration cost line- items. solution using different input value used build histogram possible project outcome relative probability cumulative probability compute desired contingency reserve time cost. additional result include relative importance input determining overall project cost schedule. example output schedule cost risk result shown figure d16 d17.,[]
Monte Carlo Analysis of Finish Dates in Quantitative Schedule Risk Analysis, Figure D16. Example Histogram from Monte Carlo Simulation of a Project Schedule Source Pertmaster v. 8.0 Primavera Pertmaster Figure D15. Example of an Expected Monetary Value Calculation when there are Three Uncertain Product Demand Scenarios 96D,figure d16. example histogram monte carlo simulation project schedule source pertmaster v. 8.0 primavera pertmaster figure d15. example expected monetary value calculation three uncertain product demand scenario 96d,['https://i.ibb.co/M9S9xPm/page-107-png-roi-0-0-99.jpg']
Monte Carlo Analysis of Project Cost at Completion in Quantitative Cost Risk Analysis, Figure D17. Example Histogram from Monte Carlo Simulation of a Project Cost Estimate Source Crystal Ball v. 7.3.8 from Oracle Hyperion Decisioneering,figure d17. example histogram monte carlo simulation project cost estimate source crystal ball v. 7.3.8 oracle hyperion decisioneering,['https://i.ibb.co/dQDZ6G1/page-108-png-roi-0-0-99.jpg']
" Techniques, Examples, and Templates for Plan Risk Responses Chapter","8 Plan Risk Responses develops the set of actions required to take into account the projects risks and their characteristics, and integrates them into the corresponding project management plan. The resultant plan should satisfy the risk appetites and attitudes of the key stakeholders.",8 plan risk response develops set action required take account project risk characteristic integrates corresponding project management plan. resultant plan satisfy risk appetite attitude key stakeholders.,[]
 Techniques for Plan Risk Response,"Techniques for Plan Risk Responses are given in Table D5 and Sections D.5.1.1 through D.5.1.5. Technique Strengths Weaknesses CSFS for Effective Application Brainstorming see Chapter 5 Check Lists see Chapter 5 Contingency planning Ensures that actions are available to address significant events before their occurrenceCan give a false feeling of confidence as if the risk had been avoidedThe trigger conditions must be clearly defined and tracked97D Technique Strengths Weaknesses CSFs for Effective Application Allows rapid and focussed response Improves image of professionalism of the way in which the project is managedThe plans need to be validated periodically Willingness of the organization to execute the plan and provide the budget and resources when the trigger condition occurs Contingency reserve estimationProvides a rationale for reserves Basis for constructive discussion with sponsorMakes the reserve visible and therefore liable to be reduced arbitrarilyPolicy for reserve management agreed with sponsor and senior management Critical Chain Project Management CCPMAlong with many other approaches, insists on resolving resource availability issues when developing the schedule Addresses schedule risk by the addition of feeding buffers to absorb statistical variations on the durations of non-critical path activities to reduce their contribution to schedule risk Partly mitigates financial risk by controlling the amount of work in process Buffer penetration thresholds can be used as trigger condition for specific response actions Special software is available for creating and managing the buffersFeeding buffers can deal with predictable common cause variation, but may be inadequate to cater for special causes Indicative start and end dates can disturb conventional management expectations, and may cause problems for setting intermediate milestones Assumption that base estimates represent 50 confidence levels this weakness is not followed in all variants of this class of tool Not all project schedules are fully resourcedRequires a fully resourced project schedule Understanding of, and acceptance by management and project team members that the activity dates are indicative rather than definitive promises, being generally set to provide a 50 confidence level Equitable sharing of the buffers by all team members concerned continued98D Technique Strengths Weaknesses CSFs for Effective Application Decision Tree Analysis see Chapter 7Allows calculation of the expected monetary values of various response options as well as the value of the outcomes in the worst case and the best case Delphi Technique see Chapter 5Involves selected experts in the process Expected Monetary Value EMV see Chapter 7 Provides an estimate of the potential benefit of a risk response Force Field Analysis see Chapter 5The diagram can suggest where best to apply the responses Industry knowledge base see Chapter 5Some risks have standard responses Interviews see Chapter 5 Experienced practitioners can provide both new ideas and act as devils advocate for potential responses Nominal Group Technique see Chapter 5Useful as a creativity technique for generating novel responses Multi-criterion selection techniquesProvide a means of selecting the responses that best supports the full set of project objectivesCan give counter- intuitive resultsNeeds an agreed set of weighted project success criteria Post-project reviews Lessons LearnedHistorical Information see Chapter 5Leverages previous experience99D Technique Strengths Weaknesses CSFs for Effective Application Prompt Lists see Chapter 5Stimulates creativity Quantitative Risk Analysis see Chapter 7Provides a means of evaluating the potential effect of the response plans on the overall project riskCan be too involved or complex for the benefit envisagedPrior effective qualitative analysis Root-Cause Analysis see Chapter 5Allows the organization to identify and to address the fundamental causes of risks for efficient and effective responses responding at the level of the root cause may effectively address multiple risks Can provide a means of identifying symptoms for use as trigger conditions for contingent responses Scenario Analysis Provides view of the potential effect of the relevant risk and the corresponding response strategy Forces the participants to analyze the effect of any strategy Helps to identify secondary risksAdds to the list of assumptionsCan be time consumingAll participants need a good understanding of the project plans 100D",technique plan risk response given table d5 section d.5.1.1 d.5.1.5. technique strength weakness csfs effective application brainstorming see chapter 5 check list see chapter 5 contingency planning ensures action available address significant event occurrencecan give false feeling confidence risk avoidedthe trigger condition must clearly defined tracked97d technique strength weakness csfs effective application allows rapid focussed response improves image professionalism way project managedthe plan need validated periodically willingness organization execute plan provide budget resource trigger condition occurs contingency reserve estimationprovides rationale reserve basis constructive discussion sponsormakes reserve visible therefore liable reduced arbitrarilypolicy reserve management agreed sponsor senior management critical chain project management ccpmalong many approach insists resolving resource availability issue developing schedule address schedule risk addition feeding buffer absorb statistical variation duration non-critical path activity reduce contribution schedule risk partly mitigates financial risk controlling amount work process buffer penetration threshold used trigger condition specific response action special software available creating managing buffersfeeding buffer deal predictable common cause variation may inadequate cater special cause indicative start end date disturb conventional management expectation may cause problem setting intermediate milestone assumption base estimate represent 50 confidence level weakness followed variant class tool project schedule fully resourcedrequires fully resourced project schedule understanding acceptance management project team member activity date indicative rather definitive promise generally set provide 50 confidence level equitable sharing buffer team member concerned continued98d technique strength weakness csfs effective application decision tree analysis see chapter 7allows calculation expected monetary value various response option well value outcome worst case best case delphi technique see chapter 5involves selected expert process expected monetary value emv see chapter 7 provides estimate potential benefit risk response force field analysis see chapter 5the diagram suggest best apply response industry knowledge base see chapter 5some risk standard response interview see chapter 5 experienced practitioner provide new idea act devil advocate potential response nominal group technique see chapter 5useful creativity technique generating novel response multi-criterion selection techniquesprovide mean selecting response best support full set project objectivescan give counter- intuitive resultsneeds agreed set weighted project success criterion post-project review lesson learnedhistorical information see chapter 5leverages previous experience99d technique strength weakness csfs effective application prompt list see chapter 5stimulates creativity quantitative risk analysis see chapter 7provides mean evaluating potential effect response plan overall project riskcan involved complex benefit envisagedprior effective qualitative analysis root-cause analysis see chapter 5allows organization identify address fundamental cause risk efficient effective response responding level root cause may effectively address multiple risk provide mean identifying symptom use trigger condition contingent response scenario analysis provides view potential effect relevant risk corresponding response strategy force participant analyze effect strategy help identify secondary risksadds list assumptionscan time consumingall participant need good understanding project plan 100d,"['https://i.ibb.co/dQDZ6G1/page-108-png-roi-0-0-99.jpg', 'https://i.ibb.co/N91ZCHW/page-110-png-roi-0-0-99.jpg', 'https://i.ibb.co/vz7Dt4S/page-111-png-roi-0-0-98.jpg', 'https://i.ibb.co/w6GGwwQ/page-109-png-roi-0-0-98.jpg']"
Contingency Planning," For specific normally high-impact risks, the risk owner may choose to assemble a team to develop a response, as if the risk had genuinely happened. The corresponding plan, with the supporting information, should then be documented and approved at project management or sponsor level. This approval must include authorization to deploy the corresponding resources if the predefined trigger conditions arise. No templates or examples are presented.",specific normally high-impact risk risk owner may choose assemble team develop response risk genuinely happened. corresponding plan supporting information documented approved project management sponsor level. approval must include authorization deploy corresponding resource predefined trigger condition arise. template example presented.,[]
Contingency Reserve Estimation," All of the conditional response plans, as well any of the residual risks will, if they occur, have an effect on the schedule andor budget andor performance objectives of the project. An amount time and cost needs to be set aside to allow for these eventualities. This amount is made up of two components those to cover specific, approved conditional responses e.g. contingency plans, and those to address unspecified or passively accepted risks. Quantitative methods see chapter 7 can be used to determine the amounts that should be set aside e.g. decision trees for conditional responses, simulation for the set of unspecified risks. These reserves are tracked and managed in Monitor and Control Risks chapter 9. No templates or examples are presented.",conditional response plan well residual risk occur effect schedule andor budget andor performance objective project. amount time cost need set aside allow eventualities. amount made two component cover specific approved conditional response example. contingency plan address unspecified passively accepted risks. quantitative method see chapter 7 used determine amount set aside example. decision tree conditional response simulation set unspecified risks. reserve tracked managed monitor control risk chapter 9. template example presented.,[]
Multi-Criteria Selection Techniques," This is an adaptation of the Perform Qualitative Risk Analysis Process chapter 6 based on selection criteria. The example below shows the use of a spreadsheet to calculate the weighted scores of two options, based on a predefined set of prioritized criteria points is the product of weight by rating. Figure D18. Example of Comparing Options by their Ratings Along Four Prioritized Criteria",adaptation perform qualitative risk analysis process chapter 6 based selection criteria. example show use spreadsheet calculate weighted score two option based predefined set prioritized criterion point product weight rating. figure d18. example comparing option rating along four prioritized criterion,[]
Scenario Analysis," Scenario analysis for risk response planning involves defining several plausible alternative scenarios e.g. no change and all goes to plan, disaster occurs, utopia etc. The different scenarios may require different risk responses that can be described and evaluated for their cost and effectiveness. If the organization can choose between scenarios, the alternatives including the responses can be compared. If the scenarios are out of the control of the organization, the scenario analysis can lead to effective and necessary contingency planning. 101D No template is offered for this technique.",scenario analysis risk response planning involves defining several plausible alternative scenario example. change go plan disaster occurs utopia etc. different scenario may require different risk response described evaluated cost effectiveness. organization choose scenario alternative including response compared. scenario control organization scenario analysis lead effective necessary contingency planning. 101d template offered technique.,[]
Critical Chain Project Management, A simple critical chain network is shown in Figure D19. Figure D19. Simple Critical Chain Network,simple critical chain network shown figure d19. figure d19. simple critical chain network,['https://i.ibb.co/M8mBt8b/page-113-png-roi-0-0-97.jpg']
 Techniques for Monitor and Control Risks Process,"Techniques for Monitor and Control Risks are given in Table D6 and D.6.1.1 through D.6.1.6. TABLE D6. Monitor and Control Risks Example Technique Strengths Weaknesses CSFs for Effective Application Critical Chain Project Management CCPM see Chapter 8Use of buffer penetration to trigger actions such as adjusting the relative priority of tasks continued102D Technique Strengths Weaknesses CSFs for Effective Application Reserve Analysis Provides a means of tracking spend and releasing contingency amounts as risks expire can be applied to schedule reserves in the same way Gives early warning of need to communicate with sponsorCould lead to unwarranted focus on cost dimension Attention to overall measure of reserve depletion may hide detailed risksPrior detailed reserve planning Accurate sizing of the contingency reserve of time or cost relative to the risk to overall project completion date and budget Risk Audits Provide a formal assessment of the compliance with the approach specified in the risk management planCan be disruptive to the project and taken as too judgemental to the project teamWell-specified risk management plan Sensitivity to the burden it places on the project team Risk Reassessment Forces a review of the project risks when it becomes necessary so that the risk register remains up-to-dateTakes time and effort Well-maintained project and risk documentation scheme Status Meetings Provide a means of verifying information about the status of risks active, occurred, retired and maintaining team understandingCan seem unnecessary to some participantsGood meeting preparation and discipline Trend Analysis Provides an indication of the effectiveness of earlier responses Can provide trigger conditions for responsesRequires understanding of significant vs. non-significant variationRegular reporting and analysis of the critical values103D Technique Strengths Weaknesses CSFs for Effective Application Variance Analysis Allows comparison between forecast and actual risk impacts Can provide trigger conditions for responses Provides data for Earned Value Analysis which can be compared to quantitative risk analysis resultsDoes not show relationship with earlier data The values can be taken out of contextRealistic prior definitions of thresholds for significant variance",technique monitor control risk given table d6 d.6.1.1 d.6.1.6. table d6. monitor control risk example technique strength weakness csfs effective application critical chain project management ccpm see chapter 8use buffer penetration trigger action adjusting relative priority task continued102d technique strength weakness csfs effective application reserve analysis provides mean tracking spend releasing contingency amount risk expire applied schedule reserve way give early warning need communicate sponsorcould lead unwarranted focus cost dimension attention overall measure reserve depletion may hide detailed risksprior detailed reserve planning accurate sizing contingency reserve time cost relative risk overall project completion date budget risk audit provide formal assessment compliance approach specified risk management plancan disruptive project taken judgemental project teamwell-specified risk management plan sensitivity burden place project team risk reassessment force review project risk becomes necessary risk register remains up-to-datetakes time effort well-maintained project risk documentation scheme status meeting provide mean verifying information status risk active occurred retired maintaining team understandingcan seem unnecessary participantsgood meeting preparation discipline trend analysis provides indication effectiveness earlier response provide trigger condition responsesrequires understanding significant vs. non-significant variationregular reporting analysis critical values103d technique strength weakness csfs effective application variance analysis allows comparison forecast actual risk impact provide trigger condition response provides data earned value analysis compared quantitative risk analysis resultsdoes show relationship earlier data value taken contextrealistic prior definition threshold significant variance,"['https://i.ibb.co/2NGMf24/page-115-png-roi-0-0-99.jpg', 'https://i.ibb.co/xG6FbYV/page-114-png-roi-0-0-99.jpg', 'https://i.ibb.co/M8mBt8b/page-113-png-roi-0-0-97.jpg']"
Reserve Analysis," An analytical technique to determine the essential features and relationships of components in the project management plan to establish a reserve for the schedule duration, budget, estimated cost, or funds for a project. Tracking the state of the reserve through project execution will provide summary information as to the evolution of the status of the corresponding risks. This information can be useful when reporting up the organization to those responsible for several projects. In addition, once a corresponding risk occurs or ceases to be current i.e. when it can no longer impact the project, the corresponding reserve needs to be reviewed in order to assess whether it still provides the agreed level of confidence. Time buffers can be used in two different ways To provide for accepted schedule risks, as described above or As a scheduling-related technique in critical chain project management CCPM. In contrast with the contingency reserve for identified risks, the buffers in CCPM provide a shared mechanism for accommodating the natural variability of activity durations over a sequence or chain of activities. Tracking the rate at which each such buffer is used during project execution provides valuable information at a given point in time as to the level of schedule risk along that chain, and is used in CCPM for adapting the priority or management focus for additional analysis and as necessary triggering further risk management activities. No templates or examples are presented. 104D",analytical technique determine essential feature relationship component project management plan establish reserve schedule duration budget estimated cost fund project. tracking state reserve project execution provide summary information evolution status corresponding risks. information useful reporting organization responsible several projects. addition corresponding risk occurs cease current i.e. longer impact project corresponding reserve need reviewed order ass whether still provides agreed level confidence. time buffer used two different way provide accepted schedule risk described scheduling-related technique critical chain project management ccpm. contrast contingency reserve identified risk buffer ccpm provide shared mechanism accommodating natural variability activity duration sequence chain activities. tracking rate buffer used project execution provides valuable information given point time level schedule risk along chain used ccpm adapting priority management focus additional analysis necessary triggering risk management activities. template example presented. 104d,[]
Risk Audits, Risk audits are carried out in order to evaluate Are the risk management rules being carried out as specified Are the risk management rules adequate for controlling the project No templates or examples are presented.,risk audit carried order evaluate risk management rule carried specified risk management rule adequate controlling project template example presented.,[]
Risk Reassessment, The objective of risk reassessment is to ensure that the full risk management cycle is repeated as required to ensure effective control. See Figure D20. Figure D20. The Risk Reassessment Process,objective risk reassessment ensure full risk management cycle repeated required ensure effective control. see figure d20. figure d20. risk reassessment process,['https://i.ibb.co/F6fr061/page-89-png-roi-0-0-98.jpg']
Status Meetings," Risks can and should be on the agenda at all project reviews. Typically, the agenda items should cover the following Top priority risks at present. Are there any changes Risks or trigger conditions that have occurred . What is the status of the actions 105D Risks responded to in the last period . Effectiveness of actions taken . Are there any additional actions required Risks closed in the last period . Impact on the plans . Lessons to be added to the Organizational Process Assets .",risk agenda project reviews. typically agenda item cover following top priority risk present. change risk trigger condition occurred . status action 105d risk responded last period . effectiveness action taken . additional action required risk closed last period . impact plan . lesson added organizational process asset .,[]
Trend Analysis," The evolution of the variance values over time should be analyzed in order to evaluate how the risk profile is changing, whether previous actions are having the expected effect and whether additional actions are required. The Earned Value formulae of the to complete performance index can be used to assess changes with respect to time and cost. No templates or examples are presented.",evolution variance value time analyzed order evaluate risk profile changing whether previous action expected effect whether additional action required. earned value formula complete performance index used ass change respect time cost. template example presented.,[]
Variance Analysis," The formulae in Earned Value Analysis CV, SV, CPI, SPI can be used to set thresholds for action, and to indicate when the risk process may be ineffective. Earned value management systems EVMS use variance from plan as the basis of forecasts or extrapolations to the cost at completion. Projections made using EVMS have been shown by experience to be reliable early in the project, e.g., 20 into the execution. No templates or examples are presented. 107E",formula earned value analysis cv sv cpi spi used set threshold action indicate risk process may ineffective. earned value management system evms use variance plan basis forecast extrapolation cost completion. projection made using evms shown experience reliable early project example. 20 execution. template example presented. 107e,[]
 REFERENCES,"Association for Project Management. 2004. Project risk analysis management PRAM guide second edition. High Wycombe, Bucks UK APM Publishing, ISBN 1-903494-12-5. ASNZS 43602004. Risk management. Published jointly by Standards Australia, Homebush NSW 2140, Australia, and Standards New Zealand, Wellington 6001, New Zealand, ISBN 0-7337-5904-1. BS6079-32000. Project ManagementPart 3. Guide to the management of business-related project risk . London, UK British Standards Institute, ISBN 0-580-33122-9. BS311002007 Code of practice for risk management . London, UK British Standards Institute. BSIEC 621982001 Project risk managementApplication guidelines . London, UK British Standards Institute, ISBN 0-580-390195. BSIPD ISOIEC Guide 732002. Risk management vocabularyGuidelines for use in standards . London, UK British Standards Institute, ISBN 0-580-401782. IEEE Standard 1540-2001. Standard for software life cycle processesRisk management . Piscataway, NJ, USA Institute of Electrical and Electronic Engineers, Inc., 2001. Institute of Risk Management IRM, National Forum for Risk Management in the Public Sector ALARM and Association of Insurance and Risk Managers AIRMIC. 2002. A risk management standard. London UK IRMALARMAIRMIC. Institution of Civil Engineers, Faculty of Actuaries and Institute of Actuaries. 2005. Risk Analysis Management for Projects RAMP second edition . Westminster, London, UK Thomas Telford, ISBN 0-7277-3390-7. ISO 31000. Risk managementGuidelines on principles and implementation of risk management . Geneva, Switzerland International Organization for Standardization. JIS Q20012001E. 2001. Guidelines for development and implementation of risk management system . Japanese Standards Association. CANCSA-Q850-97. Risk management Guideline for decision-makers . Ontario, Canada Canadian Standards Association. ISSN 0317-5669. Project Management Institute. 2004. A guide to the project management body of knowledge PMBOK Guide Third Edition. Newtown Square, PA USA Project Management Institute. UK Office of Government Commerce OGC. 2007. Management of riskGuidance for practitioners . London, UK The Stationery Office, ISBN 0-11331038-2. 109",association project management. 2004. project risk analysis management pram guide second edition. high wycombe buck uk apm publishing isbn 1-903494-12-5. asnzs 43602004. risk management. published jointly standard australia homebush nsw 2140 australia standard new zealand wellington 6001 new zealand isbn 0-7337-5904-1. bs6079-32000. project managementpart 3. guide management business-related project risk . london uk british standard institute isbn 0-580-33122-9. bs311002007 code practice risk management . london uk british standard institute. bsiec 621982001 project risk managementapplication guideline . london uk british standard institute isbn 0-580-390195. bsipd isoiec guide 732002. risk management vocabularyguidelines use standard . london uk british standard institute isbn 0-580-401782. ieee standard 1540-2001. standard software life cycle processesrisk management . piscataway nj usa institute electrical electronic engineer inc. 2001. institute risk management irm national forum risk management public sector alarm association insurance risk manager airmic. 2002. risk management standard. london uk irmalarmairmic. institution civil engineer faculty actuary institute actuaries. 2005. risk analysis management project ramp second edition . westminster london uk thomas telford isbn 0-7277-3390-7. iso 31000. risk managementguidelines principle implementation risk management . geneva switzerland international organization standardization. ji q20012001e. 2001. guideline development implementation risk management system . japanese standard association. cancsa-q850-97. risk management guideline decision-makers . ontario canada canadian standard association. issn 0317-5669. project management institute. 2004. guide project management body knowledge pmbok guide third edition. newtown square pa usa project management institute. uk office government commerce ogc. 2007. management riskguidance practitioner . london uk stationery office isbn 0-11331038-2. 109,[]
